bill_number,bill_id,session_id,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
892488,1400,AB11,5,Vetoed,2018-09-21,"Early and Periodic Screening, Diagnosis, and Treatment Program: screening services.","An act to add Section 14132.195 to, and to add and repeal Section 14197.07 of, the Welfare and Institutions Code, relating to Medi-Cal.",0,,2018-09-21,"Vetoed by Governor.",https://legiscan.com/CA/bill/AB11/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB11
892469,1400,AB12,6,Failed,2018-02-01,"State government: administrative regulations: review.","An act to add and repeal Chapter 3.6 (commencing with Section 11366) of Part 1 of Division 3 of Title 2 of the Government Code, relating to state agency regulations.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB12/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB12
892452,1400,AB13,6,Failed,2018-02-01,"—580 Marine Highway.","An act relating to transportation.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB13/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB13
892470,1400,AB14,6,Failed,2018-02-01,"Political Reform Act of 1974: campaign disclosures.","An act to amend Sections 82025, 84305, 84310, 84501, 84505, 84506.5, 84511, and 85704 of, to add Sections 82025.2, 84504.1, 84504.2, and 84505.3 to, to repeal Sections 84506, 84507, and 84508 of, and to repeal and add Sections 84502, 84503, 84504, and 84509 of, the Government Code, relating to the Political Reform Act of 1974, and declaring the urgency thereof, to take effect immediately.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB14/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB14
892464,1400,AB15,6,Failed,2018-02-01,"Denti-Cal program: reimbursement rates.","An act to add Section 14149.9 to the Welfare and Institutions Code, relating to Medi-Cal, and making an appropriation therefor.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB15/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB15
892585,1400,AB16,6,Failed,2018-02-01,"Criminal law: DNA evidence.","An act to amend Section 296 of the Penal Code, relating to DNA evidence.",0,,2018-02-01,"Died on third reading file.",https://legiscan.com/CA/bill/AB16/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB16
892554,1400,AB17,5,Vetoed,2017-10-15,"Transit Pass Pilot Program: free or reduced-fare transit passes.","An act to add and repeal Chapter 2 (commencing with Section 99100) of Part 11 of Division 10 of the Public Utilities Code, relating to transportation.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB17/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB17
892463,1400,AB18,2,Engrossed,2017-03-20,"Healing arts: Licensed Physicians and Dentists from Mexico Pilot Program.","An act to amend Section 853 of the Business and Professions Code, relating to healing arts, and declaring the urgency thereof, to take effect immediately.",0,,2018-08-16,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB18/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB18
892513,1400,AB19,4,Passed,2017-10-13,"Community colleges: California College Promise.","An act to add Article 3 (commencing with Section 76396) to Chapter 2 of Part 47 of Division 7 of Title 3 of the Education Code, relating to postsecondary education.",0,,2017-10-13,"Chaptered by Secretary of State - Chapter 735, Statutes of 2017.",https://legiscan.com/CA/bill/AB19/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB19
892491,1400,AB20,4,Passed,2017-10-08,"Public employee retirement systems: divestment: Dakota Access Pipeline.","An act to add Section 7513.72 to the Government Code, relating to public employee retirement systems.",0,,2017-10-08,"Chaptered by Secretary of State - Chapter 575, Statutes of 2017.",https://legiscan.com/CA/bill/AB20/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB20
892524,1400,AB21,4,Passed,2017-10-05,"Public postsecondary education: Access to Higher Education for Every Student.","An act to add Article 11 (commencing with Section 66093) to Chapter 2 of Part 40 of Division 5 of Title 3 of the Education Code, relating to public postsecondary education.",0,,2017-10-05,"Chaptered by Secretary of State - Chapter 488, Statutes of 2017.",https://legiscan.com/CA/bill/AB21/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB21
892587,1400,AB22,4,Passed,2017-10-15,"Secretary of State: storing and recording electronic media.","An act to amend Section 12168.7 of the Government Code, relating to state government.",0,,2017-10-15,"Chaptered by Secretary of State - Chapter 834, Statutes of 2017.",https://legiscan.com/CA/bill/AB22/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB22
892573,1400,AB23,4,Passed,2017-10-11,"Educational programs: single gender schools and classes.","An act to add and repeal Article 4.5 (commencing with Section 232) of Chapter 2 of Part 1 of Division 1 of Title 1 of the Education Code, relating to educational programs, and declaring the urgency thereof, to take effect immediately.",0,,2017-10-11,"Chaptered by Secretary of State - Chapter 654, Statutes of 2017.",https://legiscan.com/CA/bill/AB23/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB23
892492,1400,AB24,4,Passed,2017-10-09,"Instructional programs: State Seal of Civic Engagement.","An act to add Article 7 (commencing with Section 51470) to Chapter 3 of Part 28 of Division 4 of Title 2 of the Education Code, relating to instructional programs.",0,,2017-10-09,"Chaptered by Secretary of State - Chapter 604, Statutes of 2017.",https://legiscan.com/CA/bill/AB24/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB24
892533,1400,AB25,4,Passed,2017-09-27,"Tour buses: modified tour buses.","An act to amend Section 612 of, and to add Section 21118 to, the Vehicle Code, relating to tour buses.",0,,2017-09-27,"Chaptered by Secretary of State - Chapter 310, Statutes of 2017.",https://legiscan.com/CA/bill/AB25/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB25
892536,1400,AB26,5,Vetoed,2017-10-12,"Child care and development: child care resource and referral programs: assistance to license-exempt child care providers.","An act to add and repeal Section 8217 of the Education Code, relating to child care and development.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB26/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB26
892558,1400,AB27,6,Failed,2018-02-01,"Violent felonies: sex offenses.","An act to amend Section 667.5 of the Penal Code, relating to sex offenses.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB27/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB27
892474,1400,AB28,4,Passed,2017-03-29,"Department of Transportation: environmental review process: federal pilot program.","An act to add and repeal Section 820.1 of the Streets and Highways Code, relating to transportation, and declaring the urgency thereof, to take effect immediately.",0,,2017-03-29,"Chaptered by Secretary of State - Chapter 4, Statutes of 2017.",https://legiscan.com/CA/bill/AB28/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB28
892504,1400,AB29,6,Failed,2018-02-01,"Pharmacy benefit managers.","An act to add Article 11.10 (commencing with Section 1399.880) to Chapter 2.2 of Division 2 of the Health and Safety Code, relating to pharmacy benefit managers.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB29/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB29
892460,1400,AB30,6,Failed,2018-02-01,"Environmental quality: judicial review: strip mall conversion housing projects.","An act to add Section 21168.6.7 to the Public Resources Code, relating to environmental quality.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB30/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB30
892484,1400,AB31,4,Passed,2017-10-09,"Whistleblowers: California State Auditor.","An act to amend Section 8547.5 of the Government Code, relating to whistleblowers.",0,,2017-10-09,"Chaptered by Secretary of State - Chapter 605, Statutes of 2017.",https://legiscan.com/CA/bill/AB31/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB31
892559,1400,AB32,4,Passed,2017-10-09,"California State Auditor.","An act to amend Section 8543.2 of the Government Code, relating to the California State Auditor.",0,,2017-10-09,"Chaptered by Secretary of State - Chapter 606, Statutes of 2017.",https://legiscan.com/CA/bill/AB32/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB32
892445,1400,AB33,2,Engrossed,2017-05-31,"2017 northern California wildfires.","An act to amend Sections 848, 848.1, 848.2, 848.3, 848.4, and 848.6 of, to amend the heading of Article 5.6 (commencing with Section 848) of Chapter 4 of Part 1 of Division 1 of, and to repeal and add Section 848.7 of, the Public Utilities Code, relating to public utilities.",495,"Senate Energy, Utilities and Communications",2018-07-05,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on E., U. & C.",https://legiscan.com/CA/bill/AB33/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB33
892467,1400,AB34,6,Failed,2018-02-01,"Student financial aid: Children’s Savings Account Program.","An act to add Article 19.5 (commencing with Section 69996) to Chapter 2 of Part 42 of Division 5 of Title 3 of the Education Code, relating to student financial aid, and making an appropriation therefor.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB34/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB34
892509,1400,AB35,6,Failed,2018-02-01,"Residential and nonresidential buildings: energy savings program.","An act to amend Section 25943 of the Public Resources Code, relating to energy.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB35/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB35
892480,1400,AB36,5,Vetoed,2017-10-09,"Eligible fuel cell electrical generating facilities: energy metering.","An act to amend Section 2827.10 of the Public Utilities Code, relating to electricity.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB36/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB36
892500,1400,AB37,4,Passed,2017-07-24,"Pupil instruction: visual and performing arts: content standards in media arts.","An act to amend Section 60605.13 of the Education Code, relating to pupil instruction.",0,,2017-07-24,"Chaptered by Secretary of State - Chapter 102, Statutes of 2017.",https://legiscan.com/CA/bill/AB37/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB37
892498,1400,AB38,4,Passed,2018-09-14,"Student loan servicers: licensing and regulation: Student Loan Servicing Act.","An act to amend Sections 28102, 28104, 28106, 28110, 28114, 28116, 28120, 28122, 28128, 28130, 28134, 28136, 28142, 28144, and 28154 of, to add Sections 28111, 28117, 28153, and 28153.5 to, and to add Article 3 (commencing with Section 28125) to Chapter 2 of Division 12.5 of, the Financial Code, relating to student loan servicers.",0,,2018-09-14,"Chaptered by Secretary of State - Chapter 379, Statutes of 2018.",https://legiscan.com/CA/bill/AB38/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB38
892560,1400,AB39,6,Failed,2018-02-01,"Hate crimes.","An act to add Section 422.95 to the Penal Code, relating to hate crimes.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB39/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB39
892576,1400,AB40,4,Passed,2017-10-09,"CURES database: health information technology system.","An act to amend Section 11165.1 of the Health and Safety Code, relating to controlled substances, and declaring the urgency thereof, to take effect immediately.",0,,2017-10-09,"Chaptered by Secretary of State - Chapter 607, Statutes of 2017.",https://legiscan.com/CA/bill/AB40/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB40
892532,1400,AB41,4,Passed,2017-10-12,"DNA evidence.","An act to add Section 680.3 to the Penal Code, relating to DNA evidence.",0,,2017-10-12,"Chaptered by Secretary of State - Chapter 694, Statutes of 2017.",https://legiscan.com/CA/bill/AB41/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB41
892507,1400,AB42,6,Failed,2018-02-01,"Bail: pretrial release.","An act to amend Sections 825, 1269, 1269a, 1269c, 1275.1, 1277, 1278, 1284, 1295, and 1318 of, to add Sections 1275a, 1275b, 1318.2, and 1318.3 to, to repeal Sections 815a, 1270, 1270.1, 1270.2, 1288, 1319, and 1319.5 of, and to repeal and add Sections 1269b, 1275, 1289, and 1318.1 of, the Penal Code, relating to bail.",0,,2018-02-01,"Died on inactive file.",https://legiscan.com/CA/bill/AB42/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB42
892443,1400,AB43,6,Failed,2018-02-01,"Taxation: prison contracts: goods and services.","An act to add Part 28 (commencing with Section 53001) to Division 2 of the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB43/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB43
892490,1400,AB44,4,Passed,2017-10-13,"Workers’ compensation: medical treatment: terrorist attacks: workplace violence.","An act to add Section 4600.05 to the Labor Code, relating to workers’ compensation.",0,,2017-10-13,"Chaptered by Secretary of State - Chapter 736, Statutes of 2017.",https://legiscan.com/CA/bill/AB44/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB44
892454,1400,AB45,5,Vetoed,2017-10-15,"California School Employee Housing Assistance Grant Program.","An act to add Chapter 4 (commencing with Section 50570) to Part 2 of Division 31 of the Health and Safety Code, relating to housing.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB45/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB45
892462,1400,AB46,4,Passed,2017-10-14,"Employers: wage discrimination.","An act to amend Section 1197.5 of the Labor Code, relating to employment.",0,,2017-10-14,"Chaptered by Secretary of State - Chapter 776, Statutes of 2017.",https://legiscan.com/CA/bill/AB46/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB46
892541,1400,AB47,6,Failed,2018-02-01,"Budget Act of 2016.","An act relating to the Budget Act of 2016.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB47/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB47
892556,1400,AB48,6,Failed,2018-02-01,"Local government finance: property tax revenue allocations: vehicle license fee adjustments.","An act to amend Section 97.70 of the Revenue and Taxation Code, relating to local government finance, and making an appropriation therefor, to take effect immediately, bill related to the budget.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB48/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB48
892547,1400,AB49,6,Failed,2018-02-01,"Budget Act of 2016.","An act relating to the Budget Act of 2016.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB49/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB49
892510,1400,AB50,6,Failed,2018-02-01,"Budget Act of 2016.","An act relating to the Budget Act of 2016.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB50/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB50
892598,1400,AB51,6,Failed,2018-02-01,"Budget Act of 2016.","An act relating to the Budget Act of 2016.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB51/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB51
892466,1400,AB52,6,Failed,2018-02-01,"Public employees: orientation and informational programs: exclusive representatives.","An act to add Chapter 11 (commencing with Section 3550) to Division 4 of Title 1 of the Government Code, relating to public employees.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB52/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB52
892562,1400,AB53,6,Failed,2018-02-01,"Personal income taxes: deduction: homeownership savings accounts.","An act to add Sections 17141.5 and 17204.5 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB53/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB53
892548,1400,AB54,6,Failed,2018-02-01,"Personal income taxes: deductions: security fence: security alarm system: security surveillance system.","An act to add and repeal Section 17210 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB54/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB54
892508,1400,AB55,4,Passed,2017-10-09,"Hazardous materials management: stationary sources.","An act to amend Section 25536.7 of, and to add Section 25536.9 to, the Health and Safety Code, relating to hazardous materials.",0,,2017-10-09,"Chaptered by Secretary of State - Chapter 608, Statutes of 2017.",https://legiscan.com/CA/bill/AB55/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB55
892580,1400,AB56,4,Passed,2017-09-26,"California Infrastructure and Economic Development Bank: housing.","An act to amend Section 63010 of the Government Code, relating to housing, and making an appropriation therefor.",0,,2017-09-26,"Chaptered by Secretary of State - Chapter 289, Statutes of 2017.",https://legiscan.com/CA/bill/AB56/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB56
892495,1400,AB57,6,Failed,2018-02-01,"National Guard: enlistment bonuses: financial relief.","An act relating to the National Guard.",0,,2018-02-01,"Died at Desk.",https://legiscan.com/CA/bill/AB57/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB57
892473,1400,AB58,6,Failed,2018-02-01,"State park system: operating agreements.","An act to amend Section 5080.40 of the Public Resources Code, relating to the state park system.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB58/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB58
892512,1400,AB59,6,Failed,2018-02-01,"Local Housing Trust Fund Matching Grant Program.","An act to amend Section 50843.5 of the Health and Safety Code, relating to housing.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB59/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB59
892481,1400,AB60,5,Vetoed,2018-09-30,"Subsidized child care and development services: stages of child care: CalWORKs.","An act to amend Section 8350 of the Education Code, and to amend Section 11323.4 of the Welfare and Institutions Code, relating to child care and development services.",0,,2018-09-30,"Vetoed by Governor.",https://legiscan.com/CA/bill/AB60/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB60
892511,1400,AB61,5,Vetoed,2017-10-11,"State Compensation Insurance Fund: board.","An act to amend Section 11770 of the Insurance Code, relating to the State Compensation Insurance Fund.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB61/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB61
892589,1400,AB62,2,Engrossed,2017-05-30,"Public housing: smoke-free policy.","An act to add Section 104496 to the Health and Safety Code, relating to tobacco products.",490,"Senate Transportation and Housing",2017-06-08,"Referred to Coms. on T. & H. and JUD.",https://legiscan.com/CA/bill/AB62/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB62
892572,1400,AB63,5,Vetoed,2017-10-07,"Driver’s licenses: instruction permits and provisional licenses.","An act to amend, repeal, and add Sections 12509, 12509.5, 12660, and 12814.6 of, and to add Section 11103.5 to, the Vehicle Code, relating to driver’s licenses.",0,,2018-01-12,"Stricken from file.",https://legiscan.com/CA/bill/AB63/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB63
892505,1400,AB64,2,Engrossed,2017-06-01,"Cannabis: licensure and regulation.","An act to amend Sections 26001, 26053, 26070, 26100, 26110, and 26130 of, to add Section 14235.5 to, the Business and Professions Code, and to amend Section 11362.775 of the Health and Safety Code, relating to cannabis.",0,,2017-09-01,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB64/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB64
892515,1400,AB65,6,Failed,2018-02-01,"Transportation bond debt service.","An act to amend Section 16965 of the Government Code, and to amend Section 9400.4 of the Vehicle Code, relating to transportation.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB65/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB65
892453,1400,AB66,6,Failed,2018-01-09,"High-Speed Rail Authority: reports.","An act to amend Section 185033 of, and to add Section 185033.6 to, the Public Utilities Code, relating to high-speed rail.",0,,2018-01-09,"From committee: Without further action pursuant to Joint Rule 62(a).",https://legiscan.com/CA/bill/AB66/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB66
892540,1400,AB67,6,Failed,2018-02-01,"Violent and nonviolent felonies.","An act to amend Section 667.5 of the Penal Code, relating to crimes.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB67/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB67
892582,1400,AB68,6,Failed,2018-02-01,"School facilities: schoolsite acquisition.","An act to amend Section 17215.5 of the Education Code, to amend Section 53094 of the Government Code, and to amend Section 21151.2 of the Public Resources Code, relating to school facilities.",0,,2018-02-01,"From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.",https://legiscan.com/CA/bill/AB68/2017,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=201720180AB68
